,date,name,generic_name,comments,overall_ratings,years_use,uses,manufacturers,rating
13,2021-03-11,ProAir RespiClick,albuterol,I was switch from my pro air to the albuteral respiclick.  I will tell you now I think it is one of the worst  I have ever used.  I wake in the morning needing relief ASAP and respiclick sends me down a nightmarish road.,1.0,Taken for 1 to 6 months,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
234,2020-12-30,ProAir RespiClick,albuterol,"I love it, I prefer it to the others I have tried.",1.0,Taken for 1 to 2 years,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",9.0
315,2020-11-22,ProAir RespiClick,albuterol,"My insurance changed recently due to a new job. I was taking ProAir HFA which worked very well giving me immediate relief. My new insurance does not cover it. I now have coverage for ProAir RespiClick from which I have gotten zero relief. I mean absolutely no relief, it’s completely ineffective. 
The process to inhale the medication is ludicrous. Breathe deeply (when you can barely breathe at all) and the hold your breath for 10 seconds! I thought I was going to pass out. 
Terrible, terrible! Shame on Teva and the FDA for selling this rubbish.",1.0,Taken for less than 1 month,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1.0
319,2020-11-20,ProAir RespiClick,albuterol,"I have never had a problem with these inhalers, I prefer them to an inhaler you shake. I think a lot of the issues people are having is if they are unable to breath in strong enough to inhale the powder. The only issue I have is one of my inhalers went through the wash and I cannot figure out how to get a replacement because my dr won’t give me a new prescription. I have found that these last longer than my normal inhalers as well,",1.0,Taken for 2 to 5 years,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",8.0
439,2020-09-06,ProAir RespiClick,albuterol,This new inhaler ProAir RespiClick doesn't  do anything. No powder or spray  comes out. The counter works good but there is noooooo relief. $35 dollars - 3 hours I worked for nothing.,1.0,,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",
602,2020-05-22,ProAir RespiClick,albuterol,This new inhaler is terrible. Just ask the doctor for my old inhaler back. Even worse. My insurance insists I use this new one and doesn’t cover my old style inhaler. Gonna have to pay more so I can breathe. Terrible idea.,1.0,Taken for 1 to 6 months,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
606,2020-05-19,ProAir RespiClick,albuterol,I'm allergic to the propellant in the CFC free Ventolin. I have to use a powder. I first used the GSK rotahaler with no problems. The powder is in a capsule that spun in the rotahaler as you breathe in. You knew if it worked or not. Breathing in the powder is no different to the puffer. It still has to get to your lungs. I saw a demonstration video of the Respiclick. I definitely DON'T want to use it.  The fact you have to open the mouth piece each time to take a puff would be incredibly dangerous in an attack when you're trying to breathe and also trying to open/click the thing. Non-asthmatics designed it as asthmatics know better. I use an Easyhaler. You have to press to release the medication but once again you have no idea if the medicine came out as you can't always feel it when you breathe in. I found myself checking whether it was still working and you're never 100% sure if you got any and how much you got.  I prefer the GSK rotahaler but they discontinued it.,1.0,,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
665,2020-04-19,ProAir RespiClick,albuterol,"Neither myself or the pharmacist could get anything out of this inhaler.  We put it on a black surface, click the inhaler and banged it on the black counter and absolutely no powder or mist came out.  We did the black surface test after I took the thing back because I could get NOTHING out of it.",1.0,Taken for 1 to 6 months,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",1.0
694,2020-03-24,ProAir RespiClick,albuterol,"I ditto every negative response to the use of this product. I thought I was using it wrong or something was wrong with me. The people who stated whoever made it has no clue what it’s like to have to suck in when you have an attack, is totally correct. Did they even have product testing and trials before putting in the market. What about the FDA quality control???",1.0,Taken for 6 months to 1 year,"For Asthma, acute:","Teva Pharmaceuticals USA, Inc.",3.0
696,2020-03-23,ProAir RespiClick,albuterol,Used for 3 months and my condition became worse than better,1.0,Taken for 1 to 6 months,"For COPD, Acute:","Teva Pharmaceuticals USA, Inc.",1.0
