,date,name,generic_name,comments,overall_ratings,years_use,uses,manufacturers,rating
0,2021-03-16,Sprintec,ethinyl estradiol/norgestimate,"I have been on Sprintec for almost 3 months, and I hate it. My breasts feel like rocks or punching bags all the time. My period was almost a week late. eventually it started (my period) and now I'm still bleeding almost two weeks later with dryish blood clots, I'm scared this will trigger that thing that tampons do because they are dry and could get stuck, maybe I'm paranoid. But this pill makes me nauseating after about 22 hours after taking it, so I had to stop taking the pill in the morning. I'm switching as soon as I can!!! With PCOS I've been freaked out with the long bleeding and dry blood clots.",6.0,Taken for 1 to 6 months,For Abnormal Uterine Bleeding:,"Teva Pharmaceuticals USA, Inc.",2 / 10
1,2021-03-16,Qvar RediHaler,beclomethasone,"Dr, pharmacist and insurance company were no help. Teva knows they have a defective device. 

Peel the label up on the backside. Twist the bottom section in your left hand - away from you. Throw the top section away!  Remove the white mouth cover.  Put the canister - dispenser side down, into lower section, lining up the nozzle. When secured, place both thumbs at bottom sides, below mouth piece. Put both pointer fingers at top sides of canister.  Get ready to use like a traditional inhaler - press down on canister and breathe in medication. Feel free to confirm your inhaler works by testing it - with mouthpiece directed away from your face. The two RedihHalers I tested this on - both actually gave out visible doses - something neither had done in a while. 

If you want to be extra safe - use the white mouthpiece cover when inhaler is not in use. But definitely throw out the heavy plastic piece with the Qvar label. Worthless junk for our landfills!",2.0,Taken for 10 years or more,"For Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",1 / 10
2,2021-03-16,fluticasone/salmeterol,,"It definitely helped me to breathe better, but puts me at risk for thrush. Once in a while I get thrush in the throat, which is annoying and I have to stop using Advair for a few days, and I struggle to breathe again about two days later. Clears up pretty quick. It’s a good idea to eat yogurt after rinsing your mouth, so now I eat yogurt all the time.",6.0,Taken for 1 to 6 months,"Advair Diskus (fluticasone / salmeterol) for Asthma, Maintenance:","Teva Pharmaceuticals USA, Inc.",8 / 10
3,2021-03-15,Apri,desogestrel/ethinyl estradiol,"This has been an awful experience for me. I’m having a polyp removed from my uterus and have to go on birth control for the surgery. I’ve been on it for 2 weeks and since the start, I’ve had extreme nausea, bad headaches, tired all the time, moody, and trouble sleeping. I just feel awful! I do NOT recommend this particular pill!!!",5.0,Taken for less than 1 month,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",1 / 10
4,2021-03-15,Tri-Sprintec,ethinyl estradiol/norgestimate,"Break through bleeding, decreased sex drive, acne, weight fluctuates",5.0,Taken for 1 to 2 years,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",1 / 10
5,2021-03-14,Ajovy,fremanezumab,"I took Ajovy for 2 months. Although, it worked almost instantly it came with side effects. It was as if there was a band pulling at my stomach tighter and tighter. The pressure was too much for me. I also gained almost 10 pounds in that short period. I’m now back on Aimovig . It worked for 2 years but not as well as Ajovy . Just less side effects for me. Unfortunately, as we all try these medications we find more side effects than listed. Some are worth the try . Good luck to all",6.0,Taken for 1 to 6 months,For Migraine Prevention:,"Teva Pharmaceuticals USA, Inc.",
6,2021-03-14,ethinyl estradiol/norethindrone,ethinyl estradiol/norethindrone,"So I’m currently on my fourth month of this pill right now and I’ve been nonstop bleeding for 3 weeks. I’ve also slightly broken out a little more than usual from this pill. But the 3 week period is insufferable, I’m definitely going to be switching pills",5.0,Taken for 1 to 6 months,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",5 / 10
7,2021-03-14,clindamycin/tretinoin,,"So I started using this over a year ago (I'm in Canada so its name is Biacna but it’s the same thing) 
The first month I did apply 3x/week and my acne got real bad, it was getting itchy and I was getting breakouts like I did in my pre teen years! So I changed up my whole routine, turned to cetaphil normal skin cleanser and use moisturizer with SPF and serum from cerave in the morning and at night I used moisturizer every time I wasn’t using the cream and oh my goodness 2 months after that I could already see a M A J O R  difference, I didn’t see my acne was that bad until I saw it improving! 
After that I used it every night but if my skins was getting flakey I stopped it until it became ok! 
It’s been maybe 3-4 months I’ve stopped using it and only used it when I start to see some break out, my skins is not perfect cause now I fight against acne scars but my pore are empty and no big cyst on the face yayyy",8.0,Taken for 1 to 2 years,For Acne:,"Teva Pharmaceuticals USA, Inc.",8 / 10
8,2021-03-13,Tri-Sprintec,ethinyl estradiol/norgestimate,"I got on this pill when I was 17, a little over two years ago. Still to this day reading bad reviews of birth control scare me, but I hope I can calm some fears. I’ve had 0 bad experiences on this pill. It made my periods regular, minimal cramping and side affects (my PMS without birth control was AWFUL), and my skin is super clear. Hormones will affect everyone differently, but this pill works great for me. I would definitely recommend to anyone looking for a birth control option.",5.0,Taken for 1 to 2 years,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",10 / 10
9,2021-03-12,Sprintec,ethinyl estradiol/norgestimate,"Hello! I’ve been on Sprintec since I was 13 for horrible period cramps, and I’m now 19. After starting this birth control I could not go out on a hot day for too long or go to the gym for my normal time period because this medication completely ruined my joints. On their side effects list, it talks about inflammation at the knees or swollen ankles. I thought I had cankles for years. My knees would burn and become instantly  swollen and painful, I thought I just had a problem with circulation or joint issues. It turns out this birth control made my ankles and knees like this. Works 100% amazing for not getting pregnant, but definitely ruined my summer days and workouts. 1/10 review, if you’re having the same symptoms it’s because of this birth control.",6.0,Taken for 5 to 10 years,For Birth Control:,"Teva Pharmaceuticals USA, Inc.",1 / 10
